r_1,r_2,a_0,a_1,a_2,logReturn
-4.15452253754000e-03,1.31638622827000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.74701022656518e-02
-3.24609565058000e-03,-7.31619123637000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,4.06183515299951e-03
1.33359573305000e-02,1.21025669659000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.23263036355873e-03
-1.11540544763000e-02,-5.80164231163000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-5.36678764125589e-03
5.38089359131000e-03,-4.95960397807000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.02874003451804e-02
-2.50409430699000e-02,-1.03387478626000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.48113436144769e-02
-9.98091468599000e-04,-2.86423167450000e-04,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-7.11921657245223e-04
1.02045572709000e-02,1.13832985084000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,9.02537590732988e-03
-9.18192940413000e-04,-1.98564665368000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.87611769361310e-02
1.59740118157000e-03,-1.66024514684000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.80362177698929e-02
2.25074940877000e-03,6.81436494029000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,4.55323381162956e-03
7.67208550660000e-03,-6.67426822204000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-1.44502576198582e-02
9.97730388637000e-03,8.13429314691000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-1.84471117335272e-03
-1.14938300139000e-02,-1.07202535827000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,7.73277375171090e-04
1.18385546742000e-03,-1.94830881757000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-3.13707977831603e-03
-4.51595172635000e-03,-5.91100834128000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-1.39603061236920e-03
-1.78190520197000e-02,-4.36580184452000e-04,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,1.72331248673643e-02
1.39796674859000e-02,1.32739015876000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-7.06015068295582e-04
-4.02685787010000e-03,1.30368547899000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,5.31638629048320e-03
-8.24964953448000e-03,-1.24355774320000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-4.19471341931353e-03
-2.32685692242000e-03,-5.79461238948000e-05,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,2.26634070722382e-03
1.05193259967000e-02,-1.54632834361000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-2.63261207072104e-02
1.32732534733000e-04,8.43526535793000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,8.26825638769189e-03
-9.98721204692000e-03,-4.51074563694000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-5.49151722749880e-03
-3.68871500103000e-03,1.78567885192000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-5.48943325984954e-03
