Date,Open,High,Low,Close,Volume,Adj Close
2005-09-28,121.93,122.120003,121.199997,121.669998,58620500,98.071522
2005-09-27,121.519997,121.989998,121.019997,121.550003,66150800,97.974801
2005-09-26,122.019997,122.239998,121.080002,121.580002,70415400,97.998981
2005-09-23,121.239998,121.889999,120.900002,121.440002,59368100,97.886135
2005-09-22,120.949997,121.660004,120.440002,121.339996,84597200,97.805526
2005-09-21,121.790001,121.870003,120.779999,120.910004,94469100,97.458932
2005-09-20,123.199997,123.610001,121.870003,122.050003,84480300,98.377823
2005-09-19,123.470001,123.550003,122.639999,123.089996,53355300,99.216105
2005-09-16,123.300003,123.739998,122.870003,123.50,75424100,99.546586
2005-09-15,123.589996,123.650002,122.900002,123.150002,73156900,98.843718
2005-09-14,123.739998,123.919998,123.019997,123.209999,57694600,98.891874
2005-09-13,124.129997,124.419998,123.519997,123.660004,58427500,99.25306
2005-09-12,124.449997,124.669998,124.269997,124.349998,33017600,99.80687
2005-09-09,123.830002,124.739998,123.800003,124.599998,43093900,100.007527
2005-09-08,123.660004,124.00,123.309998,123.50,39068700,99.124637
2005-09-07,123.629997,124.129997,123.459999,123.910004,41749700,99.453717
2005-09-06,122.660004,123.800003,122.650002,123.699997,57251300,99.28516
2005-09-02,122.849998,122.879997,122.040001,122.269997,47653400,98.137401
2005-09-01,122.519997,123.150002,121.139999,122.489998,74578700,98.31398
2005-08-31,121.190002,122.660004,120.739998,122.580002,102945200,98.38622
2005-08-30,121.25,121.300003,120.389999,121.050003,74160200,97.158199
2005-08-29,120.410004,121.779999,120.379997,121.690002,56179200,97.671881
2005-08-26,121.480003,121.489998,120.68,120.760002,61956800,96.925436
2005-08-25,121.349998,121.669998,121.209999,121.589996,35631100,97.591613
2005-08-24,121.940002,122.730003,121.089996,121.150002,79104600,97.238461
2005-08-23,122.50,122.610001,121.150002,122.239998,55168600,98.113323
2005-08-22,122.580002,123.230003,121.879997,122.470001,69912000,98.29793
2005-08-19,122.629997,122.82,122.199997,122.470001,39842100,98.29793
2005-08-18,122.050003,122.559998,121.839996,122.190002,53388600,98.073195
2005-08-17,122.190002,122.870003,122.029999,122.199997,62275100,98.081217
2005-08-16,123.440002,123.519997,122.089996,122.209999,71942100,98.089245
2005-08-15,123.220001,123.870003,122.830002,123.82,36208500,99.381478
2005-08-12,123.57,123.690002,122.75,123.059998,54776900,98.771478
2005-08-11,123.269997,124.029999,123.010002,123.82,58570200,99.381478
2005-08-10,123.82,124.50,122.82,123.330002,72863700,98.988191
2005-08-09,123.059998,123.589996,122.870003,123.389999,47170000,99.036347
2005-08-08,123.150002,123.410004,122.379997,122.650002,47616000,98.442403
2005-08-05,123.449997,123.980003,122.669998,122.879997,53595500,98.627005
2005-08-04,124.230003,124.309998,123.57,123.720001,50855600,99.301216
2005-08-03,124.25,124.739998,124.120003,124.720001,36837200,100.103845
2005-08-02,123.870003,124.599998,123.739998,124.389999,45147400,99.838976
2005-08-01,123.830002,124.040001,123.449997,123.650002,40418200,99.245032
2005-07-29,124.410004,124.629997,123.50,123.739998,62358100,99.317266
2005-07-28,123.959999,124.639999,123.639999,124.57,47880700,99.983449
2005-07-27,123.50,123.889999,123.050003,123.790001,43181600,99.3574
2005-07-26,123.230003,123.529999,122.949997,123.339996,42758800,98.996213
2005-07-25,123.410004,123.949997,122.849998,123.190002,57301600,98.875824
2005-07-22,122.879997,123.559998,122.629997,123.540001,52607100,99.156742
2005-07-21,123.550003,123.610001,122.470001,122.720001,101110900,98.498587
2005-07-20,122.589996,123.730003,122.300003,123.440002,69477000,99.076481
2005-07-19,122.709999,123.110001,122.410004,123.019997,59165700,98.739372
2005-07-18,122.50,122.629997,122.050003,122.349998,56598400,98.201612
